,index,previousStableCoinBalance,previousTickerBalance,currentAction,priceAtCurrentAction,currentStableCoinBalance,currentTickerBalance
0,0,0.0,0.023392913843828064,closeLongPosition,42629.9,996.240340293135,0
1,1,1990.4881999056836,0.0,closeShortPosition,43611.02,970.2993645076358,0
2,2,0.0,0.0222267001584262,closeLongPosition,43623.02,968.6261897594842,0
3,3,1935.3151271394495,0.0,closeShortPosition,43250.89,973.9308848618634,0
4,4,0.0,0.02249565162652148,closeLongPosition,42680.28,959.1605894921897,0
5,5,0.0,0.022450682818920063,closeLongPosition,43201.06,968.9234022056336,0
6,6,0.0,0.02240580390396504,closeLongPosition,42907.71,960.4203544919716,0
7,7,0.0,0.022361014701961016,closeLongPosition,43338.22,968.117488002244,0
8,8,0.0,0.022316315033571794,closeLongPosition,43023.02,959.1551527476443,0
9,9,0.0,0.022271704719819686,closeLongPosition,43381.45,965.212665872904,0
10,10,0.0,0.022227183582084767,closeLongPosition,42622.99,946.4416345238159,0
11,11,0.0,0.02218275144210418,closeLongPosition,42217.03,935.5533932307416,0
12,12,0.0,0.022138408121971414,closeLongPosition,42033.75,929.629752084519,0
13,13,1857.400244664869,0.0,closeShortPosition,41706.66,934.0252680172191,0
14,14,0.0,0.022372715598640645,closeLongPosition,41712.02,932.2779493443057,0
15,15,1862.6913427899228,0.0,closeShortPosition,41912.76,924.9559390956142,0
16,16,1848.0619663130371,0.0,closeShortPosition,41884.17,922.7689082931984,0
17,17,1843.6922787698104,0.0,closeShortPosition,43274.78,889.3502147960269,0
18,18,0.0,0.02053068472170698,closeLongPosition,38842.03,796.656018409203,0
19,19,1591.7187247815878,0.0,closeShortPosition,38720.72,796.7151604247955,0
20,20,0.0,0.020555362742851132,closeLongPosition,36278.51,744.972214887332,0
21,21,0.0,0.02051427257272817,closeLongPosition,35100.02,719.3313262106219,0
22,22,0.0,0.020473264541855284,closeLongPosition,35217.66,720.2994492553902,0
23,23,1439.1582996122695,0.0,closeShortPosition,35228.45,717.8849761927509,0
24,24,1434.3341824331162,0.0,closeShortPosition,35123.56,717.8337453561348,0
25,25,1434.2318232215573,0.0,closeShortPosition,34417.76,730.0582320873427,0
26,26,1458.6563477105108,0.0,closeShortPosition,35950.0,695.3640804946543,0
27,27,1389.3374328283194,0.0,closeShortPosition,36837.7,676.0920148796893,0
28,28,1350.831845729619,0.0,closeShortPosition,37789.73,656.5764486026857,0
29,29,1311.839744308166,0.0,closeShortPosition,38264.86,646.3292766315152,0
30,30,0.0,0.016874044419733503,closeLongPosition,35930.8,605.691617321324,0
31,31,1210.1718514080053,0.0,closeShortPosition,36528.86,593.7747085799651,0
32,32,0.0,0.016238692745171493,closeLongPosition,37223.18,603.8513272351944,0
33,33,1206.4949518159183,0.0,closeShortPosition,37103.62,603.9497351328196,0
34,34,0.0,0.016261102970483384,closeLongPosition,37814.46,614.2899230053919,0
35,35,1227.351266164773,0.0,closeShortPosition,37538.19,616.9025150928848,0
36,36,1232.5712251555838,0.0,closeShortPosition,38099.34,605.8103017559116,0
37,37,0.0,0.01588490749325725,closeLongPosition,37832.44,600.3638448345612,0
38,38,1199.5269619794533,0.0,closeShortPosition,36912.84,613.1144251682392,0
39,39,1225.002621486142,0.0,closeShortPosition,38341.99,587.5316299779695,0
40,40,0.0,0.015308128199605486,closeLongPosition,38556.82,589.6425107855837,0
41,41,0.0,0.015277527251334475,closeLongPosition,39110.89,596.920170111146,0
42,42,0.0,0.015246987474359057,closeLongPosition,38423.44,585.2558666933851,0
43,43,1169.3412216533834,0.0,closeShortPosition,37336.71,600.010235705046,0
44,44,0.0,0.01605417899620349,closeLongPosition,36906.99,591.9189122474211,0
45,45,0.0,0.01602208669239008,closeLongPosition,36687.0,587.2144921892312,0
46,46,0.0,0.015990058541091996,closeLongPosition,37289.34,595.6624708291246,0
47,47,1190.133616716591,0.0,closeShortPosition,40268.51,546.3039533891631,0
48,48,0.0,0.013552963579625219,closeLongPosition,41465.42,561.4173477467892,0
49,49,0.0,0.013525871205429548,closeLongPosition,41283.81,557.8410974324951,0
50,50,1114.5665126701251,0.0,closeShortPosition,41543.41,552.6374749759144,0
51,51,0.0,0.013289348118051419,closeLongPosition,41640.85,552.8263718299798,0
52,52,0.0,0.013262782711163434,closeLongPosition,42815.74,567.2880003814311,0
53,53,1133.4414247620994,0.0,closeShortPosition,43797.71,552.5618240232534,0
54,54,0.0,0.012603610147636262,closeLongPosition,44362.01,558.5623579261357,0
55,55,1116.0075911364193,0.0,closeShortPosition,43017.01,573.779784746522,0
56,56,1146.4120099235508,0.0,closeShortPosition,43453.49,566.2156597841787,0
57,57,1131.298888248789,0.0,closeShortPosition,44077.34,556.3697282225816,0
58,58,0.0,0.012609956918778652,closeLongPosition,43783.82,551.5599718556197,0
59,59,1102.0168237675282,0.0,closeShortPosition,45382.86,529.7554627031545,0
60,60,1058.4514144809027,0.0,closeShortPosition,43091.1,554.8681660543575,0
61,61,0.0,0.012863753719174103,closeLongPosition,43577.92,560.0150548433976,0
62,62,0.0,0.012838039075489475,closeLongPosition,42287.0,542.3392762268383,0
63,63,1083.5938739012229,0.0,closeShortPosition,42730.49,535.0049035207982,0
64,64,0.0,0.012507928147261533,closeLongPosition,42204.84,527.3672110804828,0
65,65,1053.6796877388047,0.0,closeShortPosition,42311.15,524.4337524349198,0
66,66,0.0,0.012382299197315245,closeLongPosition,41962.01,519.0665765779935,0
67,67,1037.095020002831,0.0,closeShortPosition,42651.0,508.9708897234798,0
68,68,0.0,0.011921453631421452,closeLongPosition,43468.94,517.6947396644241,0
69,69,1034.3540898495194,0.0,closeShortPosition,44123.18,508.3335920698577,0
70,70,1015.6505169555757,0.0,closeShortPosition,43893.67,509.4268499634758,0
71,71,1017.8348462270246,0.0,closeShortPosition,43647.36,510.7310952064908,0
72,72,0.0,0.011689604230617483,closeLongPosition,43615.72,509.3406545283941,0
73,73,1017.6626277477314,0.0,closeShortPosition,41979.68,526.8765734015963,0
74,74,1052.6993936563892,0.0,closeShortPosition,40513.23,543.6592611499825,0
75,75,0.0,0.013405882520076342,closeLongPosition,39933.41,534.8072604829558,0
76,76,0.0,0.01337908416091871,closeLongPosition,40212.56,537.4692173414273,0
77,77,1073.8634962481717,0.0,closeShortPosition,39946.4,539.3861411363093,0
78,78,0.0,0.01348924446245902,closeLongPosition,39550.65,532.9748781126557,0
79,79,1064.883806469086,0.0,closeShortPosition,38271.61,548.5710826428993,0
80,80,1096.045023120513,0.0,closeShortPosition,39297.12,532.214875367145,0
81,81,1063.3653209835559,0.0,closeShortPosition,38696.1,538.7258525579422,0
82,82,1076.3742534107685,0.0,closeShortPosition,36617.84,565.9908419168585,0
83,83,0.0,0.015441239873103974,closeLongPosition,37709.99,581.7067122011498,0
84,84,0.0,0.015410372834597641,closeLongPosition,38003.05,585.0555281825041,0
85,85,1168.9409453086432,0.0,closeShortPosition,38638.24,573.5040607369655,0
86,86,1145.861113352457,0.0,closeShortPosition,35077.91,624.5525541128234,0
87,87,1247.856003117421,0.0,closeShortPosition,36156.98,603.4559432712751,0
88,88,1205.7049746560078,0.0,closeShortPosition,38721.84,558.8513740695012,0
89,89,0.0,0.014418026692311929,closeLongPosition,39374.0,567.1276876001068,0
90,90,0.0,0.014389205056954,closeLongPosition,39356.93,565.7486212460024,0
91,91,0.0,0.014360441036045148,closeLongPosition,39148.75,561.6311226938626,0
92,92,0.0,0.014331734514414095,closeLongPosition,38547.38,551.8983655698494,0
93,93,1102.692934408559,0.0,closeShortPosition,39092.99,542.4130286393271,0
94,94,1083.7412312213755,0.0,closeShortPosition,37816.22,558.4591106031348,0
95,95,1115.8013029850633,0.0,closeShortPosition,41010.09,509.63681761339194,0
96,96,1018.2543615915571,0.0,closeShortPosition,43336.26,479.20444389806084,0
97,97,0.0,0.011046759444727411,closeLongPosition,43385.53,478.7902437787124,0
98,98,956.6229070698674,0.0,closeShortPosition,44248.56,467.816788008339,0
99,99,0.0,0.01056190238101151,closeLongPosition,44243.19,466.8249615507401,0
100,100,932.7162731783787,0.0,closeShortPosition,43435.27,473.9195582594397,0
101,101,946.8912774023605,0.0,closeShortPosition,42416.84,483.5774699127363,0
102,102,0.0,0.011389200431781897,closeLongPosition,41379.99,470.81371497515545,0
103,103,940.6858025203605,0.0,closeShortPosition,40754.4,476.4907073965915,0
104,104,952.0284333783899,0.0,closeShortPosition,38856.33,497.2099928690072,0
105,105,993.4255657522764,0.0,closeShortPosition,39334.06,489.5882479435768,0
106,106,0.0,0.012434481965391654,closeLongPosition,39467.95,490.27274897349355,0
107,107,979.5649524490401,0.0,closeShortPosition,39211.05,491.96758751327906,0
108,108,982.9512398515316,0.0,closeShortPosition,37930.18,506.5244141473417,0
109,109,0.0,0.013340772169633636,closeLongPosition,38828.33,517.4819043530936,0
110,110,0.0,0.013314103966066542,closeLongPosition,38550.01,512.745582191872,0
111,111,1024.4656732193603,0.0,closeShortPosition,38309.73,514.3766548850388,0
112,112,1027.7245564603074,0.0,closeShortPosition,41639.54,468.1437973530351,0
113,113,0.0,0.011231527859233845,closeLongPosition,42233.16,473.868570210357,0
114,114,946.7894032802933,0.0,closeShortPosition,39540.63,502.60741146495053,0
115,115,1004.2096081069711,0.0,closeShortPosition,39141.28,506.14786375575545,0
116,116,0.0,0.012918374562405719,closeLongPosition,38484.13,496.6552536422665,0
117,117,992.3171967772485,0.0,closeShortPosition,38724.67,492.04114256977255,0
118,118,0.0,0.012693435513516392,closeLongPosition,39108.0,495.91846118653643,0
119,119,0.0,0.012668061335924873,closeLongPosition,39147.7,495.4295392956257,0
120,120,989.8682195126602,0.0,closeShortPosition,39129.03,494.15653594570915,0
121,121,987.3247588195269,0.0,closeShortPosition,38921.98,495.2636827980868,0
122,122,0.0,0.012711799839455461,closeLongPosition,38519.86,489.16709341368295,0
123,123,977.3558526405385,0.0,closeShortPosition,38836.65,483.65799986298,0
124,124,966.348683726234,0.0,closeShortPosition,38786.01,482.8148531747533,0
125,125,0.0,0.012435722012178579,closeLongPosition,39171.0,486.63254727210807,0
126,126,0.0,0.012410863003876234,closeLongPosition,39113.85,484.95119727026025,0
127,127,968.93249214598,0.0,closeShortPosition,40301.0,468.76924976748035,0
128,128,936.6009610354257,0.0,closeShortPosition,41340.94,455.2566444794136,0
129,129,909.6027756698684,0.0,closeShortPosition,40800.05,459.82069810615144,0
130,130,918.7217548160905,0.0,closeShortPosition,40618.2,460.4676230676343,0
131,131,0.0,0.011325148712758484,closeLongPosition,41409.65,468.5014739488861,0
132,132,0.0,0.01130250974048168,closeLongPosition,41798.8,471.95891279630524,0
133,133,942.9739077670179,0.0,closeShortPosition,41976.86,468.5127503467206,0
134,134,0.0,0.011150053567522055,closeLongPosition,41849.37,466.15609454978346,0
135,135,931.3798769104674,0.0,closeShortPosition,41297.0,470.88314383802674,0
136,136,940.8245213883774,0.0,closeShortPosition,40864.28,474.3781869451916,0
137,137,0.0,0.011597018441490867,closeLongPosition,40788.71,472.5543946525483,0
138,138,0.0,0.011573836001626326,closeLongPosition,42989.52,497.0561006143663,0
139,139,0.0,0.011550699903459074,closeLongPosition,42515.0,490.586928389167,0
140,140,0.0,0.01152761005435206,closeLongPosition,41944.35,483.03459267247854,0
141,141,965.1031161596121,0.0,closeShortPosition,42580.51,474.244196252345,0
142,142,947.5399041121852,0.0,closeShortPosition,42901.03,469.2332499850295,0
143,143,0.0,0.01092663781580639,closeLongPosition,44002.19,480.3151972390655,0
144,144,0.0,0.010904795466812594,closeLongPosition,44096.78,480.3855002783872,0
145,145,0.0,0.010882996780674436,closeLongPosition,44150.0,480.0038235589095,0
146,146,959.0476394707013,0.0,closeShortPosition,44408.5,475.7339892145225,0
147,147,0.0,0.010701965957537588,closeLongPosition,44292.67,473.54462786193795,0
148,148,946.142166468152,0.0,closeShortPosition,44580.51,469.0277900354929,0
149,149,937.1175244909148,0.0,closeShortPosition,44950.0,463.7154817038207,0
150,150,0.0,0.010305934732416394,closeLongPosition,47124.8,485.17944796509795,0
151,151,0.0,0.010285333168886295,closeLongPosition,47466.55,487.72107184647217,0
152,152,0.0,0.01026477278788169,closeLongPosition,47592.99,488.0426974172795,0
153,153,975.1093094397245,0.0,closeShortPosition,47491.5,487.5958819805152,0
154,154,974.2165721970694,0.0,closeShortPosition,47238.67,488.7040260720435,0
155,155,976.4306440919429,0.0,closeShortPosition,47248.66,487.1122046849243,0
156,156,0.0,0.01029923584034424,closeLongPosition,47020.01,483.7859020331393,0
157,157,966.6042322622122,0.0,closeShortPosition,45688.8,495.9960087451049,0
158,158,991.0000254727196,0.0,closeShortPosition,44642.44,505.8336615855908,0
159,159,1010.6556558480104,0.0,closeShortPosition,46025.29,488.639064975717,0
160,160,0.0,0.010606134712258007,closeLongPosition,46529.71,493.0068720099162,0
161,161,0.0,0.010584933048968204,closeLongPosition,46307.06,489.666972664759,0
162,162,0.0,0.010563773767803318,closeLongPosition,46364.18,489.29092774126156,0
163,163,0.0,0.01054265678404148,closeLongPosition,46293.5,487.56842535019223,0
164,164,974.161713849684,0.0,closeShortPosition,46075.85,488.37344757608935,0
